,BMS-536924,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Mitomycin-C,Vinorelbine ,NSC-87877,Bicalutamide,QS11,CP466722,Midostaurin,CHIR-99021,Ponatinib,AZD6482,JNK-9L,PF-562271,HG6-64-1,JQ1,JQ12,DMOG,FTI-277,OSU-03012,Shikonin,AKT inhibitor VIII,Embelin,FH535,PAC-1,IPA-3,GSK650394,BAY-61-3606,5-Fluorouracil,Thapsigargin,Obatoclax Mesylate,BMS-754807,Linsitinib,Bexarotene,LFM-A13,GW-2580,Luminespib,Phenformin,Bryostatin 1,Pazopanib,Dacinostat,Epothilone B,GSK1904529A,BMS-345541,Tipifarnib,Avagacestat,Ruxolitinib,AS601245,Ispinesib Mesylate,TL-2-105,AT-7519,TAK-715,BX-912,ZSTK474,AS605240,Genentech Cpd 10,GSK1070916,Enzastaurin,GSK429286A,FMK,QL-XII-47,Idelalisib,UNC0638,Cabozantinib,WZ3105,XMD14-99,Quizartinib,CP724714,JW-7-24-1,NPK76-II-72-1,STF-62247,NG-25,TL-1-85,VX-11e,FR-180204,Tubastatin A,Zibotentan,Sepantronium bromide,NSC-207895,VNLG/124,AR-42,CUDC-101,Belinostat,I-BET-762,CAY10603,Linifanib,BIX02189,Alectinib,Pelitinib,Omipalisib,KIN001-236,KIN001-244,WHI-P97,KIN001-260,KIN001-266,Masitinib,Amuvatinib,MPS-1-IN-1,NVP-BHG712,OSI-930,OSI-027,CX-5461,PHA-793887,PI-103,PIK-93,SB52334,TPCA-1,Fedratinib,Foretinib,Y-39983,YM201636,Tivozanib,GSK690693,SNX-2112,QL-XI-92,XMD13-2,QL-X-138,XMD15-27,T0901317,Selisistat,THZ-2-49,KIN001-270,THZ-2-102-1,AICA Ribonucleotide,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,Tretinoin,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Refametinib,CI-1040,Temsirolimus,Olaparib,Veliparib,Bosutinib,Lenalidomide,Axitinib,AZD7762,GW441756,Lestaurtinib,Tanespimycin,VX-702,Motesanib,KU-55933,Elesclomol,Afatinib,Vismodegib,PLX-4720,BX795,NU7441,SL0101,Doramapimod,JNK Inhibitor VIII,Nutlin-3a (-),PD173074,ZM447439,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,SB590885,Selumetinib,CCT007093,EHT-1864,Cetuximab,PF-4708671,Serdemetan,TW 37,CCT-018159,Rucaparib,SB505124,Tamoxifen,PFI-1,IOX2,YK-4-279,(5Z)-7-Oxozeaenol,Piperlongumine,Daporinad,Talazoparib,rTRAIL,UNC1215,SGC0946,ICL1100013,XAV939,Trametinib,Dabrafenib,Temozolomide,Bleomycin (50 uM),SN-38,PFI-3
906826,1.348414,0.120893,-0.200059,2.18842,-0.821821,1.440476,-3.423499,3.664038,3.206402,5.556982,2.2642,-1.41106,3.581389,-0.700722,2.127116,0.535629,0.644993,-0.010629,0.229568,2.877393,6.576213,1.547017,2.575961,0.527522,2.972714,3.417371,2.035892,3.556899,6.456449,3.286192,2.324755,3.581547,-3.367766,-1.489595,0.985232,3.200017,3.930093,4.751911,6.241231,-3.433079,8.110447,-1.878797,3.032906,-2.395505,-4.378984,2.518562,5.111116,1.959135,3.918385,4.055161,3.441581,0.207822,4.768587,3.989499,4.838244,2.480615,0.494109,3.282917,4.949479,1.821992,5.617218,4.108274,5.407659,2.348521,3.857034,3.52073,2.504968,0.313964,5.251472,2.827991,5.50932,1.164053,1.823194,5.260746,2.215543,2.98308,4.148962,5.786226,4.575258,5.853973,-4.937879,2.988504,4.160793,0.222839,0.295776,0.460129,2.659599,0.331327,3.235844,3.289708,4.733655,0.456743,-3.786061,4.463763,2.506557,3.345307,5.305628,3.48083,6.124457,4.736174,4.448408,2.559503,4.219978,-1.19113,3.434087,4.190907,-0.803513,1.877126,4.626946,2.288939,1.688232,0.243025,3.146125,2.390998,0.78234,4.520706,-1.367035,4.627558,3.920505,0.190165,4.426859,5.519668,6.251852,0.620233,4.977163,-4.049144,6.598917,-4.667206,3.889157,0.351948,-5.546043,1.540832,4.602812,1.256787,0.230027,1.739147,3.504307,1.677553,3.179871,-0.798098,2.149711,4.842133,2.72456,4.295886,3.531836,1.511988,3.770874,-1.318918,-0.505898,3.878269,2.550071,4.593205,-4.159029,1.485106,5.553214,3.623726,1.610719,3.514248,3.726425,4.80085,5.219089,3.60811,1.660335,1.397076,3.651916,2.262084,1.733143,-3.238429,0.128314,0.053309,1.05111,3.056459,2.239843,5.095706,3.745753,6.609549,4.178931,2.536658,-0.574465,3.007687,3.561541,5.050226,3.634121,1.854957,0.768239,1.654388,0.04914,0.903764,-4.425989,2.001795,-1.573859,2.662548,2.378558,-0.098149,3.306462,-1.503097,1.423806,5.615971,1.939815,-3.699011,5.236934
687983,1.22161,3.341805,-0.787008,5.764598,2.543626,0.504897,-1.724506,5.845989,2.867356,4.977333,3.46574,2.327068,3.654029,1.986548,3.128977,1.430716,3.85768,2.800968,1.814747,4.675102,7.858772,2.909863,3.127747,3.532788,3.717245,3.732472,3.737182,3.496197,5.754021,5.067527,3.621081,5.666356,-0.492371,0.423919,2.33067,3.245442,4.382682,5.749779,5.023206,-0.837739,6.24065,-2.298135,3.75633,-0.330088,-2.552467,3.008552,3.149499,3.300827,4.610145,4.687095,4.153715,0.729454,3.722451,2.245757,4.880964,2.788151,0.910613,4.297771,3.626192,2.110021,5.88371,5.727265,5.806832,2.78116,5.957955,2.412174,3.218183,-1.000394,5.090378,2.52047,4.452769,0.373691,1.582831,4.871895,3.260515,3.107101,3.632934,6.081555,5.937258,6.04476,-5.744803,5.502487,4.588024,0.799644,1.220826,1.385139,2.401188,2.218206,3.08667,4.267282,4.413421,3.619476,-4.585088,4.574485,3.94944,4.996577,5.312671,5.06494,3.672932,3.503068,4.011183,4.67067,4.632771,-1.704862,5.417773,1.564043,-1.222065,1.295195,3.746371,3.033906,2.31385,-0.259989,6.086047,2.240293,0.615174,2.631248,-1.642869,4.477848,2.758353,0.051282,5.099262,4.708101,5.570747,3.880389,5.262883,-4.006095,7.587834,-3.683032,2.808186,-0.078169,-5.007832,0.968762,4.875228,1.26657,3.091539,1.515323,3.784618,2.575957,3.221849,-2.960264,3.73568,4.70024,3.783819,4.696351,0.997877,1.401204,1.966426,0.433865,1.17582,3.784618,2.860534,4.9422,-4.498827,2.398324,5.394056,4.875133,2.175723,2.355105,5.058602,4.293418,5.145359,5.170913,0.047803,4.474116,2.992073,0.946365,3.126353,-2.433572,0.839904,-0.371963,-0.686353,4.700909,2.719818,4.645687,3.480315,5.721112,3.724116,3.693448,-2.270275,3.570872,4.553512,4.004964,4.487014,2.14684,-0.331417,0.900421,0.793651,1.844886,-5.555107,2.347193,0.644046,2.946631,2.253484,3.571667,4.556069,-0.657559,2.717949,6.046504,0.254659,-2.96546,4.886956
910927,1.603361,1.182168,-3.861349,-0.308938,-1.565819,-3.12354,-4.73938,1.778256,2.106185,0.911547,2.837409,-2.308353,3.064331,-0.209297,0.206313,-1.588079,0.460869,-1.133152,1.157326,0.524307,5.395504,2.058889,-1.143554,-2.494276,0.987119,1.604392,1.207389,1.005694,1.250749,1.418432,1.248096,3.750703,-5.634825,-2.605356,-0.859778,2.755589,2.773415,4.819986,4.833869,-4.944025,7.654228,-4.27815,2.018688,-2.768565,-6.535912,2.080747,3.306167,0.735351,3.447821,3.737569,1.039647,-0.152449,3.55567,3.406408,4.04989,3.41492,1.703635,3.782523,4.292724,2.606499,4.91068,4.648361,4.91348,2.48732,4.732667,5.079454,3.779025,1.694738,4.073961,1.77769,4.007334,2.129779,4.475467,4.461385,2.848436,4.420049,3.78232,5.144898,5.144874,5.144898,-1.45259,4.583858,3.704463,2.188163,2.287673,3.1341,4.561989,3.240855,2.172688,5.144898,3.675739,2.341643,-2.276163,4.475467,4.985861,4.47452,5.144871,4.399421,4.271935,3.503227,5.143302,4.475038,2.816405,2.677304,4.015305,3.506542,1.817196,5.002574,4.937813,5.144898,2.866908,1.353752,5.144784,3.78232,-0.011637,2.991818,2.184211,4.121698,3.986054,2.339248,4.475285,3.506753,4.740905,2.670073,5.107676,3.569581,8.006225,-4.607099,2.10818,-1.266887,-5.683009,-0.41945,2.880724,0.604461,2.811667,0.832371,2.377112,1.294896,2.615667,-1.669186,1.352983,3.295638,2.842152,3.758604,1.264777,-0.582978,2.842313,-1.350243,-3.710823,2.563253,2.839369,2.708201,-6.260073,1.042661,3.023451,3.866253,0.276273,0.797142,2.778295,4.433056,4.451751,1.973831,2.574518,0.543392,3.596677,1.87465,0.333011,-3.686665,0.327985,-1.578846,0.323679,3.758053,2.010526,4.010211,2.978981,6.028571,0.763988,2.25036,-1.272752,1.400871,1.000932,2.927823,3.683899,2.993096,-1.061172,0.409262,-0.264007,-0.021918,-6.418767,-2.260215,-0.288871,1.391545,1.387624,-1.103795,2.26825,0.547566,1.659691,5.335696,-1.58862,-5.431289,4.258379
1240138,1.943671,3.885914,-1.223148,2.849411,-0.776133,1.441806,-4.57691,6.074065,3.302846,5.087351,1.973065,-0.54388,1.637745,-0.387822,3.847727,-0.183305,1.636367,0.743498,2.231685,4.451827,5.371258,2.869878,3.019906,-0.20703,2.884152,4.018717,3.448419,2.48957,4.500577,3.811894,2.498129,6.159766,-5.471065,-0.608686,-0.752778,-0.023797,4.706974,4.97524,5.658691,-3.108716,11.13232,-2.21177,2.493082,-2.182146,-4.40533,1.486742,3.005721,0.880284,3.980017,3.800927,1.098232,0.3996,4.276051,1.162581,6.312758,1.522944,0.77505,3.199302,2.973968,1.445914,1.932285,2.696474,NA,1.364962,NA,3.252218,2.137878,-1.132828,4.256188,2.744286,4.170631,0.287805,2.794733,5.485686,2.02124,2.582804,4.797204,6.214875,4.284049,5.769518,-4.39729,5.07247,4.957929,-0.0094,-0.388069,0.382151,5.233166,1.186186,2.336925,3.755641,3.537924,1.469115,-3.427178,5.016144,3.897961,5.61671,5.373492,6.210652,5.367758,4.390319,5.510219,3.495893,5.199497,-1.28518,4.769676,1.56321,2.953317,3.007441,3.81365,2.610253,0.138383,-0.445242,3.270503,1.689757,0.752477,3.508812,-0.263762,3.398125,3.055616,0.343007,3.778636,5.63731,6.324335,4.843544,6.317364,-1.931719,8.847389,-2.031613,3.468921,0.598227,-2.914028,1.719165,5.631188,2.635456,1.866199,2.540112,3.698091,2.548284,3.953797,-1.078992,4.024361,4.293676,3.499914,4.18157,1.390433,0.061826,1.27,1.983766,3.328603,3.830834,2.222321,5.631188,-3.701108,2.635456,5.623228,5.269273,3.276515,3.356862,5.631188,3.321722,3.955217,2.949293,3.54085,4.670949,3.975034,2.913839,3.031148,-1.861976,2.876101,1.354959,-0.831593,4.911863,2.188155,4.513956,4.235205,5.805528,5.068038,3.253111,0.186614,5.631188,4.938041,5.468396,4.66331,4.021759,-0.325758,2.507705,1.198835,1.960107,3.161983,2.062081,0.861991,3.093937,2.208266,3.391189,3.467693,0.061244,3.755664,6.562171,3.091133,-1.895596,5.462993
906792,2.478728,1.430626,-3.912705,-0.725072,-4.148774,-2.337516,-5.576848,5.006738,2.294447,2.221778,2.801825,-0.854747,2.578036,0.833024,1.259257,-0.703389,1.102674,0.1104,0.741138,0.174678,5.038731,2.198848,0.50293,-0.06981,2.754878,0.809121,0.601565,3.192371,2.156223,2.260258,2.709298,5.577823,-5.6715,-2.458381,0.121939,2.136841,2.804151,4.823196,5.218278,-4.277109,7.70948,-3.681169,2.472418,-2.632381,-6.992873,2.280472,2.809362,1.820737,3.810021,3.89151,1.331824,-4.051419,4.029183,1.675169,3.016449,1.55516,0.828066,3.099676,0.981993,0.918866,1.970326,3.983469,4.689577,-0.250726,4.311663,2.482381,3.79501,0.357195,4.295123,2.189736,4.065842,1.95979,3.10139,4.190738,2.455513,2.830477,3.411726,5.266977,5.266192,5.248714,-3.457895,3.757896,3.541566,1.489181,1.351941,2.140816,5.266977,2.521474,2.28902,5.266977,3.904148,2.022506,-2.649219,4.597281,3.759621,4.597085,5.263546,2.966217,3.033088,4.280276,3.870771,3.828738,3.868933,1.048851,4.597546,2.55247,0.786166,4.554311,4.230584,4.46168,2.376621,0.65445,4.876242,3.304255,0.198357,3.514894,1.315701,2.778154,2.703287,1.078233,4.578483,3.623533,4.885806,4.500445,4.788448,-0.26132,7.569028,-5.828957,1.369138,-1.659461,-7.183721,-0.626795,2.744744,0.36982,NA,1.602459,2.793105,NA,1.466942,-3.25973,1.917971,2.706848,1.500892,2.458047,2.876738,-0.828299,2.718629,-0.171871,NA,1.965919,NA,NA,-3.456696,1.386735,4.040969,2.802784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.423763,3.320642,NA,4.504549,2.756815,-1.887882,1.648276,2.11459,3.615636,3.295751,1.07827,-1.401272,NA,NA,0.701859,NA,-2.92734,-2.104767,NA,NA,1.518013,2.778879,NA,NA,NA,1.056225,-6.328048,NA
910688,1.990956,1.805652,-3.230325,-0.93408,-3.804415,-1.601109,-5.166889,4.764875,1.990615,2.184313,0.747182,-0.592303,2.191609,0.806524,1.166144,-0.94607,1.888333,0.725542,-1.239933,-0.05678,4.117141,1.085049,0.675015,-0.067071,-1.40485,1.397784,2.07383,0.097042,2.013907,2.254119,0.441612,0.844513,-3.427078,-2.238319,0.254589,1.496614,2.776881,3.746991,5.079309,-3.833848,5.31028,-2.746533,3.699279,-3.961277,-5.737905,2.035866,2.600105,NA,3.570563,3.671171,1.676554,-4.021057,2.042946,-1.264147,3.119972,0.817404,-2.001704,2.000047,-0.918717,-3.848459,2.558296,3.653532,4.171245,-0.523863,1.961188,2.268434,2.518062,-1.418596,2.510774,0.766499,3.331895,-1.47298,-1.42508,3.407128,1.838445,1.625225,1.14455,3.035985,2.173118,4.581236,-4.376208,2.342662,2.751937,-2.635945,-2.247899,-1.869756,-0.482024,-1.661942,2.106808,2.37827,3.081996,-0.921979,-5.862423,1.019923,-0.42775,2.724714,2.698017,2.120906,1.303261,2.946597,2.583356,-0.928345,1.52164,-2.566156,-2.178138,-1.10718,-3.135694,-2.173076,3.628666,1.198274,-0.299404,-0.527297,2.111086,-0.18717,-0.112757,-2.09754,-4.00446,1.489099,0.726583,-1.940922,2.52806,2.523576,5.039244,-0.69116,4.817121,-3.629237,7.58326,-1.998987,2.918105,1.549215,-3.192307,-1.520166,4.203631,1.059702,1.105253,1.356041,2.772718,2.21426,2.345105,-1.036581,2.829728,3.690832,2.769733,3.647643,2.001625,0.710565,2.417401,-0.078146,0.409087,2.77402,2.769493,3.415762,0.217757,1.265355,4.176058,2.995917,3.676123,2.311711,4.384456,4.256828,4.356617,1.827593,2.508962,3.468563,3.626224,2.748853,2.882275,-1.490154,-0.096173,0.409244,0.352337,3.656168,2.580948,3.967818,4.041001,6.034194,3.676942,2.600965,-0.802355,2.96427,3.592068,3.6332,3.420239,2.271728,-0.319405,0.335356,0.690577,1.600128,-6.299493,0.58016,-0.442411,1.4606,1.196118,0.205676,2.90298,0.635542,2.957284,4.319561,0.785858,-5.211529,3.923307
1290812,3.736374,0.206176,-2.258592,2.2084,-0.757638,1.375289,-3.486572,5.605722,3.204195,5.499314,3.013618,-0.679123,1.118718,2.046202,2.868759,0.09854,1.090638,2.055872,-0.112808,2.704513,6.246213,1.533396,2.658608,0.575262,2.255002,2.754947,2.335301,2.305746,4.456897,3.808351,0.933473,5.856694,-3.601269,-0.253713,1.019638,2.971512,2.920957,4.430583,6.061725,-3.428081,11.35756,-2.283577,2.793267,-2.237115,-4.495647,2.212976,3.784373,1.492834,2.590018,4.251027,1.238499,1.101381,5.11454,4.208428,6.176211,1.850062,3.171391,4.108266,2.33048,2.579088,6.176211,3.582888,NA,1.993231,6.079571,2.386771,3.429296,-0.264083,5.0211,3.197173,4.545419,2.00838,4.070683,5.36965,3.535592,3.144755,4.528433,6.0874,4.882109,5.822841,-3.607229,5.262221,3.965307,-0.421161,-0.563136,-0.035835,4.257114,0.654988,2.555236,4.393597,4.813633,3.141787,-0.600271,4.773269,2.95343,3.987228,6.152276,3.134392,3.245345,5.660786,5.493791,4.138539,4.852056,2.446892,5.388917,5.002103,4.187723,3.638633,3.72988,3.48653,2.030565,0.295125,3.601068,3.818871,1.124753,5.480034,2.129551,4.657241,4.727432,2.55395,5.50678,5.50678,5.720399,2.658777,5.842124,-1.461169,10.781381,-2.830602,2.935286,-0.781759,-2.567325,1.571041,5.483064,2.487331,NA,3.242198,3.873626,1.834412,3.674004,-1.563823,3.733787,4.786304,1.976914,4.721775,1.809376,-0.048609,-0.198311,0.963814,NA,3.873626,NA,NA,-3.559978,2.487331,5.483064,3.242126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521315,NA,NA,NA,3.173223,4.45411,4.488151,5.97692,4.38854,3.120419,0.19237,3.385438,4.08493,3.676863,3.868831,2.724274,0.722972,1.857501,0.756778,1.69998,2.711537,3.381083,0.722972,3.025557,2.33241,3.970612,4.619615,-1.342207,4.694779,6.316494,1.217168,-2.186624,5.003998
907045,4.969736,4.474118,-0.117844,6.251942,2.560102,1.590517,-2.493313,6.549018,3.418843,4.745451,2.566824,2.967769,4.558856,3.038625,2.980695,0.030591,4.562005,3.56617,-0.407813,-0.242341,8.960558,3.584648,3.266023,0.599273,1.206774,3.124554,1.459589,1.565401,4.580472,6.541696,4.935599,6.354673,-0.132405,1.253826,4.57893,4.446426,NA,4.875518,6.200921,-2.705036,7.6214,-1.560064,2.742089,-3.333835,-2.442926,3.776951,4.387699,1.693301,3.149311,5.091252,3.322625,0.999386,2.838706,1.957902,4.526501,5.958634,0.898418,3.750742,3.562814,4.163048,2.884028,5.822066,5.800247,2.539588,5.779696,2.960543,5.370321,-0.10906,5.959674,1.397985,1.35596,2.595076,5.350981,4.47397,4.780811,5.091565,5.190165,5.749739,5.243551,6.580704,-1.794146,6.351744,5.053418,-0.252497,0.590076,1.263441,4.887094,2.183931,3.238574,5.730371,4.421549,-0.621781,-3.477911,4.485064,4.649256,4.79104,5.172286,6.405685,3.13245,3.259288,6.509027,4.400509,4.290147,0.934093,6.024083,4.252555,1.225446,3.65192,3.265478,5.200402,4.261928,5.162535,6.560539,2.697003,1.580999,3.104836,1.077859,5.021953,4.638508,0.730592,5.960614,6.01691,6.772162,3.979335,6.043805,-0.253305,7.912957,-3.355877,2.076152,0.758324,-2.169649,1.997673,2.012528,1.85258,0.881399,0.531808,2.976115,4.363116,3.418904,-3.906994,5.345954,4.168146,4.24273,3.931333,1.34516,4.012375,1.80743,3.623862,-1.604994,4.458714,0.561322,5.829373,-3.88021,-1.117021,4.820208,4.926486,4.003326,4.398086,3.685114,3.531963,3.172985,5.06651,4.368663,3.572029,3.06748,-0.567065,4.525206,-3.094255,0.957165,0.063541,-1.934105,3.362346,2.826181,4.559643,2.738387,6.998008,2.271443,2.839235,-0.154345,5.252039,5.363281,5.886026,5.192879,3.709166,0.191724,4.134702,3.34279,4.572953,3.375334,5.328591,1.280856,3.583441,2.890294,4.791579,5.190115,2.501147,3.4546,6.984639,7.139535,1.061285,5.886026
906861,-2.006415,1.653871,-2.392569,1.112539,-4.453311,-2.045375,-5.147049,5.633288,2.903328,2.226995,3.401572,-0.849312,3.049388,-0.166214,2.281194,-0.62848,0.861866,0.930059,0.051205,-0.033028,6.296385,1.582779,0.633138,0.457672,1.382318,2.340043,1.728141,1.106631,3.654408,1.651219,1.720737,1.718243,-5.722899,-2.525768,0.280935,1.490245,3.294729,5.115872,5.861049,-3.46397,7.89293,-2.203253,3.987372,-4.034984,-6.734665,2.508647,2.725015,-1.840286,3.774309,4.26946,1.825605,-2.662242,3.559529,0.01842,4.114069,3.922544,1.150506,3.143269,2.397819,1.453558,1.88555,5.873035,5.012295,0.041138,4.629214,0.646343,2.398103,0.349789,4.620016,2.819259,3.626735,1.815014,1.643468,2.678433,1.014213,1.360005,2.779428,4.984353,3.740085,5.839338,-5.969653,2.792431,4.180563,-0.468999,-0.781485,-0.406292,4.050412,0.510455,1.465,4.275481,3.929617,0.70808,-3.457597,2.548293,3.064302,3.90041,3.120232,2.137199,3.205097,0.809941,3.009153,2.070393,5.074284,1.764507,-0.161725,1.287042,4.017436,3.004336,2.816301,3.580665,2.908197,-0.352291,4.047901,1.149536,0.58515,3.93622,-2.750513,3.541798,2.644886,1.777207,4.624956,4.973589,5.832788,4.639952,4.904077,-2.731692,6.451458,-5.053395,3.531817,0.302511,-6.879096,-0.803097,4.158999,-0.744273,2.919047,1.385724,3.191814,1.121947,2.495201,-4.019653,2.301379,3.437388,1.514297,3.857,1.884793,-0.360206,1.490191,-0.284187,-2.215047,2.396755,3.554656,4.767387,-3.369279,-0.692681,4.400529,3.569063,1.418273,2.409461,5.182196,5.124914,5.1734,4.662859,3.381146,3.524045,3.825366,1.327053,0.497036,-4.424898,-0.96419,0.03972,0.24661,3.997574,1.984392,3.363772,4.57522,5.485899,4.06726,2.429275,-0.151333,3.011549,2.448937,4.105166,3.248435,1.806787,-0.258304,0.474917,1.731578,1.351352,-3.887892,-0.391053,-0.269272,2.7112,1.892413,-0.833341,0.979462,-0.368109,3.807024,5.611099,1.273061,-3.504912,4.168119
906830,1.529322,1.583886,1.998875,5.294938,0.623828,0.199616,-1.078159,4.983449,2.898975,5.198625,5.686071,1.390514,2.394646,1.931561,2.094299,0.933122,3.773569,3.925664,2.789354,2.283787,9.495595,2.777843,5.648554,1.003818,3.726245,0.774557,-1.957243,3.745584,4.694491,5.664435,4.802675,5.405365,-1.886777,-0.517292,2.56011,3.477976,3.955381,4.895829,5.780344,-3.005263,8.118754,-2.495372,4.739864,0.060706,-1.042259,2.868592,3.053047,4.890833,3.752148,4.56643,2.210975,-0.696299,5.240124,3.628922,4.835421,4.665057,4.400195,-0.055676,5.240124,4.20911,4.980214,5.909059,5.909555,3.207582,5.907814,5.786336,4.545081,-0.672856,5.125534,2.937539,5.211611,5.240124,5.221313,4.885656,3.001715,4.339176,2.527307,5.908899,5.778818,5.630164,-0.121356,5.708387,4.390581,3.420264,2.947365,2.824258,4.946505,3.16816,-0.91871,5.899309,4.490078,4.430195,-0.989935,5.240124,5.882549,5.237914,5.889495,5.293485,5.71776,3.445618,5.908236,2.901147,4.364888,5.54434,5.214063,5.240124,4.77941,5.840279,4.586677,5.889667,3.996807,0.756744,5.908396,4.546977,0.858098,5.240124,-2.416178,5.233025,5.126434,2.737277,5.240124,4.848472,5.313996,4.526595,5.556657,-0.760109,8.417037,-3.480167,1.804169,-2.54745,-5.076468,0.148293,3.829573,1.26444,0.867917,2.799737,1.529452,-2.300582,-1.302194,-2.108535,4.019174,3.244414,2.090086,3.25591,0.828107,-2.036654,0.262529,-0.837666,-5.119888,3.598197,1.115229,4.864867,-3.419071,1.658823,5.133089,-1.135214,2.472534,3.095476,4.485385,3.916535,3.392048,1.607368,3.60697,2.769235,4.015053,1.056899,0.861602,-1.412204,1.31022,0.096419,-4.967723,-1.809047,-2.677891,4.773061,4.556777,6.413782,4.174113,2.139694,0.791265,2.507571,4.075818,4.9607,4.327178,2.990762,0.477827,2.140025,-2.961383,1.274588,1.151905,2.376904,-0.240667,2.790604,1.672785,3.62977,3.801621,-6.346544,-3.991214,5.205262,2.799599,-4.754642,5.092892
