,BMS-536924,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Mitomycin-C,Vinorelbine ,NSC-87877,Bicalutamide,QS11,CP466722,Midostaurin,CHIR-99021,Ponatinib,AZD6482,JNK-9L,PF-562271,HG6-64-1,JQ1,JQ12,DMOG,FTI-277,OSU-03012,Shikonin,AKT inhibitor VIII,Embelin,FH535,PAC-1,IPA-3,GSK650394,BAY-61-3606,5-Fluorouracil,Thapsigargin,Obatoclax Mesylate,BMS-754807,Linsitinib,Bexarotene,LFM-A13,GW-2580,Luminespib,Phenformin,Bryostatin 1,Pazopanib,Dacinostat,Epothilone B,GSK1904529A,BMS-345541,Tipifarnib,Avagacestat,Ruxolitinib,AS601245,Ispinesib Mesylate,TL-2-105,AT-7519,TAK-715,BX-912,ZSTK474,AS605240,Genentech Cpd 10,GSK1070916,Enzastaurin,GSK429286A,FMK,QL-XII-47,Idelalisib,UNC0638,Cabozantinib,WZ3105,XMD14-99,Quizartinib,CP724714,JW-7-24-1,NPK76-II-72-1,STF-62247,NG-25,TL-1-85,VX-11e,FR-180204,Tubastatin A,Zibotentan,Sepantronium bromide,NSC-207895,VNLG/124,AR-42,CUDC-101,Belinostat,I-BET-762,CAY10603,Linifanib,BIX02189,Alectinib,Pelitinib,Omipalisib,KIN001-236,KIN001-244,WHI-P97,KIN001-260,KIN001-266,Masitinib,Amuvatinib,MPS-1-IN-1,NVP-BHG712,OSI-930,OSI-027,CX-5461,PHA-793887,PI-103,PIK-93,SB52334,TPCA-1,Fedratinib,Foretinib,Y-39983,YM201636,Tivozanib,GSK690693,SNX-2112,QL-XI-92,XMD13-2,QL-X-138,XMD15-27,T0901317,Selisistat,THZ-2-49,KIN001-270,THZ-2-102-1,AICA Ribonucleotide,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,Tretinoin,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Refametinib,CI-1040,Temsirolimus,Olaparib,Veliparib,Bosutinib,Lenalidomide,Axitinib,AZD7762,GW441756,Lestaurtinib,Tanespimycin,VX-702,Motesanib,KU-55933,Elesclomol,Afatinib,Vismodegib,PLX-4720,BX795,NU7441,SL0101,Doramapimod,JNK Inhibitor VIII,Nutlin-3a (-),PD173074,ZM447439,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,SB590885,Selumetinib,CCT007093,EHT-1864,Cetuximab,PF-4708671,Serdemetan,TW 37,CCT-018159,Rucaparib,SB505124,Tamoxifen,PFI-1,IOX2,YK-4-279,(5Z)-7-Oxozeaenol,Piperlongumine,Daporinad,Talazoparib,rTRAIL,UNC1215,SGC0946,ICL1100013,XAV939,Trametinib,Dabrafenib,Temozolomide,Bleomycin (50 uM),SN-38,PFI-3
906826,0.836162,0.676145,0.819097,0.78291,0.754236,0.696022,0.773208,0.904797,0.948255,0.980974,0.79085,0.765869,0.935525,0.836747,0.880494,0.724818,0.812265,0.655945,0.769302,0.923933,0.646159,0.936683,0.821658,0.574251,0.889352,0.835229,0.683663,0.970327,0.977336,0.880205,0.860009,0.849428,0.510505,0.297844,0.843431,0.961783,0.949238,0.953533,0.981179,0.598426,0.822879,0.976649,0.908419,0.549881,0.743755,0.967628,0.963838,0.75786,0.939526,0.965346,0.929564,0.961878,0.966397,0.942348,0.948955,0.852631,0.719816,0.863314,0.97046,0.904234,0.970424,0.917201,0.965666,0.841441,0.902995,0.82432,0.903626,0.845307,0.976233,0.974063,0.980299,0.717002,0.791397,0.976392,0.829605,0.890043,0.968107,0.973804,0.939015,0.975054,0.087495,0.838869,0.968375,0.686148,0.695361,0.533495,0.808248,0.515303,0.980714,0.863845,0.979076,0.795876,0.644498,0.958361,0.792836,0.912125,0.9631,0.878169,0.979502,0.945281,0.933643,0.859043,0.950712,0.307272,0.916949,0.94972,0.449577,0.722283,0.941093,0.769701,0.777158,0.688709,0.852307,0.896603,0.974688,0.959984,0.565603,0.962875,0.939612,0.589372,0.957277,0.980447,0.981325,0.556018,0.9536,0.216622,0.736166,0.557543,0.939302,0.807749,0.716787,0.979822,0.962848,0.952582,0.795511,0.785099,0.974191,0.845393,0.903954,0.899948,0.825737,0.981002,0.955176,0.971769,0.974699,0.900411,0.978726,0.606448,0.791108,0.980329,0.949455,0.962596,0.531522,0.919358,0.981249,0.927647,0.839615,0.974376,0.932367,0.967707,0.976083,0.936909,0.909205,0.840445,0.955519,0.903864,0.867925,0.628185,0.705259,0.776968,0.96628,0.933394,0.902527,0.980664,0.933225,0.965932,0.950123,0.859113,0.582755,0.893219,0.952652,0.972983,0.954967,0.797091,0.978619,0.776068,0.573084,0.687607,0.277787,0.811704,0.894745,0.971281,0.978632,0.454629,0.943649,0.67427,0.750451,0.960551,0.611896,0.719058,0.97639
687983,0.839319,0.972833,0.770872,0.983919,0.976443,0.574819,0.926204,0.984953,0.959863,0.978799,0.906996,0.983978,0.971189,0.978883,0.948663,0.835723,0.982916,0.933438,0.917973,0.984562,0.812407,0.982472,0.883523,0.911178,0.94349,0.876705,0.877075,0.977118,0.971668,0.971817,0.949509,0.969635,0.869498,0.56291,0.943479,0.97205,0.972002,0.983724,0.965217,0.895813,0.606039,0.976636,0.954421,0.820785,0.91882,0.983825,0.885156,0.896049,0.982118,0.98442,0.966466,0.980976,0.943708,0.847148,0.961154,0.891371,0.781046,0.939654,0.939559,0.933544,0.982498,0.980132,0.981371,0.89087,0.983524,0.755337,0.951134,0.717088,0.980648,0.976002,0.967811,0.620539,0.778653,0.976923,0.92133,0.912432,0.964458,0.985105,0.983244,0.984651,0.040451,0.976193,0.983425,0.768203,0.814791,0.668583,0.795363,0.774731,0.984824,0.938288,0.9809,0.979672,0.536178,0.970754,0.922406,0.979125,0.972304,0.966333,0.905979,0.894593,0.925733,0.972901,0.972073,0.2331,0.985174,0.776494,0.385803,0.656145,0.910591,0.857752,0.853293,0.629029,0.98516,0.901405,0.979135,0.879686,0.528231,0.968439,0.889221,0.573744,0.980787,0.973696,0.977462,0.918541,0.97119,0.20775,0.853238,0.699658,0.894472,0.775449,0.791916,0.977519,0.977419,0.963333,0.974041,0.773603,0.985174,0.923106,0.920497,0.703571,0.945234,0.985166,0.985164,0.985119,0.879669,0.907939,0.938366,0.83021,0.933824,0.985174,0.96883,0.978603,0.482612,0.915069,0.985174,0.977417,0.898659,0.953901,0.980521,0.96421,0.981844,0.985174,0.789746,0.98513,0.943141,0.811922,0.956566,0.7424,0.800608,0.740187,0.907427,0.985174,0.941038,0.980562,0.933915,0.949237,0.944761,0.943487,0.338987,0.93814,0.983279,0.955298,0.98235,0.840163,0.963658,0.696775,0.68245,0.810061,0.144724,0.858312,0.983314,0.983314,0.983314,0.899313,0.983314,0.788382,0.888002,0.978701,0.370213,0.81004,0.97763
910927,0.91946,0.857682,0.31483,0.447612,0.696362,0.070627,0.631548,0.785426,0.976257,0.723583,0.906971,0.688541,0.962264,0.936739,0.725367,0.424045,0.851715,0.501067,0.919479,0.769168,0.478615,0.98952,0.309889,0.12598,0.905434,0.652725,0.586975,0.907046,0.59424,0.732837,0.807683,0.924611,0.160255,0.114588,0.662727,0.986324,0.95045,0.989676,0.986691,0.364042,0.832363,0.942342,0.895684,0.496656,0.445522,0.989796,0.941341,0.623829,0.986695,0.990093,0.77903,0.987699,0.972678,0.967606,0.966643,0.967916,0.907459,0.95516,0.988606,0.983644,0.987872,0.983371,0.987913,0.915014,0.984967,0.985083,0.990846,0.978809,0.985159,0.985271,0.983926,0.882475,0.990883,0.990724,0.940642,0.990243,0.990883,0.990883,0.990883,0.990883,0.446899,0.982044,0.989972,0.942632,0.948325,0.913167,0.981572,0.921619,0.990881,0.990883,0.989615,0.978241,0.880041,0.990883,0.98893,0.990872,0.990883,0.977682,0.974114,0.939738,0.990865,0.990878,0.93865,0.869738,0.984079,0.971093,0.848205,0.989153,0.988264,0.990883,0.941767,0.873904,0.990882,0.990883,0.989634,0.948925,0.97314,0.985987,0.983512,0.902417,0.990881,0.9711,0.985115,0.868957,0.990458,0.995107,0.933121,0.579222,0.882689,0.636566,0.740871,0.971414,0.943999,0.974747,0.990534,0.715027,0.983982,0.870156,0.926669,0.895778,0.791641,0.984025,0.990881,0.990883,0.943617,0.744598,0.990883,0.622811,0.342882,0.987195,0.99085,0.93314,0.200818,0.956553,0.951855,0.981515,0.736018,0.91031,0.937738,0.990672,0.990883,0.891435,0.987368,0.806141,0.988891,0.93854,0.777117,0.579919,0.776403,0.584685,0.984473,0.990877,0.946644,0.990588,0.949512,0.986752,0.704372,0.896479,0.481391,0.798207,0.836235,0.946701,0.990011,0.950266,0.973054,0.647505,0.53496,0.57586,0.040785,0.212905,0.989243,0.977363,0.990088,0.281174,0.94856,0.942186,0.831981,0.988156,0.102808,0.498529,0.988458
1240138,0.88764,0.965035,0.709715,0.850526,0.763124,0.699129,0.633441,0.983697,0.981935,0.975528,0.763161,0.854643,0.897041,0.867287,0.963428,0.63502,0.896952,0.752826,0.930115,0.976557,0.478428,0.977033,0.864579,0.470279,0.887673,0.887335,0.842347,0.941399,0.917092,0.917334,0.87772,0.974278,0.230538,0.413154,0.651756,0.744153,0.972978,0.96311,0.973678,0.644567,0.976897,0.972758,0.877347,0.580934,0.744211,0.937802,0.863447,0.624638,0.945486,0.961529,0.742096,0.96932,0.955757,0.72004,0.983888,0.762726,0.75647,0.861067,0.89376,0.884032,0.732264,0.816075,NA,0.744444,NA,0.802323,0.883948,0.692886,0.955126,0.97478,0.952317,0.604405,0.881351,0.981847,0.815506,0.865308,0.981911,0.982648,0.929956,0.975759,0.117439,0.959601,0.983982,0.65848,0.60681,0.522835,0.964029,0.635962,0.965958,0.901003,0.954317,0.887324,0.693941,0.974198,0.909619,0.98356,0.967525,0.982593,0.967389,0.934824,0.970626,0.924156,0.977492,0.292466,0.96905,0.767272,0.892384,0.844901,0.904591,0.807517,0.583464,0.598837,0.86675,0.848795,0.976373,0.924806,0.715088,0.919083,0.899069,0.612078,0.937345,0.983814,0.984029,0.952434,0.983944,0.489165,0.927957,0.866452,0.923992,0.83538,0.938014,0.984029,0.984029,0.984029,0.924331,0.863799,0.979608,0.911735,0.94539,0.885763,0.948019,0.97409,0.976348,0.971848,0.897012,0.781814,0.888982,0.930065,0.984029,0.981547,0.940568,0.984029,0.596981,0.981935,0.983932,0.979014,0.945991,0.973693,0.984029,0.916234,0.945444,0.907714,0.977059,0.983488,0.967235,0.940501,0.945148,0.798308,0.938935,0.894695,0.887455,0.983709,0.903609,0.972965,0.955213,0.944149,0.975608,0.912402,0.687337,0.984029,0.984029,0.981935,0.980345,0.947924,0.956603,0.861192,0.727382,0.811815,0.981883,0.821767,0.981918,0.980929,0.977962,0.875996,0.952785,0.849193,0.937377,0.981869,0.760732,0.889746,0.981861
906792,0.963359,0.878006,0.309677,0.379675,0.273657,0.149165,0.490728,0.989674,0.990099,0.885245,0.89754,0.877358,0.97973,0.976453,0.857626,0.572771,0.908857,0.703605,0.876002,0.713415,0.419496,0.988951,0.583845,0.488314,0.931997,0.519411,0.48467,0.989887,0.735733,0.841993,0.941237,0.988125,0.161609,0.13593,0.804264,0.967201,0.946515,0.987262,0.989535,0.476245,0.833466,0.965419,0.926193,0.519497,0.371025,0.989938,0.898205,0.786486,0.989268,0.989686,0.813329,0.628753,0.981143,0.825391,0.896785,0.810325,0.80595,0.903993,0.730575,0.893021,0.776413,0.959111,0.980952,0.532718,0.971141,0.841875,0.988782,0.904531,0.986022,0.988835,0.9819,0.858433,0.949154,0.98427,0.906108,0.933596,0.982675,0.990104,0.990095,0.989895,0.151319,0.948488,0.985032,0.881437,0.867554,0.79944,0.990104,0.846387,0.990037,0.990104,0.990102,0.963888,0.832395,0.990101,0.948577,0.990099,0.990065,0.892257,0.898256,0.970146,0.954066,0.976452,0.977472,0.636658,0.990104,0.913913,0.700934,0.977865,0.968508,0.97549,0.899391,0.782832,0.984553,0.980463,0.989907,0.966911,0.924987,0.930189,0.925078,0.744752,0.989885,0.970552,0.984718,0.976511,0.982948,0.754951,0.892041,0.375001,0.788974,0.570105,0.495127,0.958894,0.929543,0.962204,NA,0.819318,0.987959,NA,0.80197,0.683849,0.920156,0.96355,0.950805,0.952808,0.989057,0.703805,0.986893,0.798107,NA,0.969765,NA,NA,0.65268,0.98768,0.981877,0.933342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977324,0.960383,NA,0.989285,0.930347,0.379731,0.825,0.933658,0.971051,0.980791,0.748208,0.955287,NA,NA,0.69157,NA,0.136041,0.911682,NA,NA,0.710489,0.966229,NA,NA,NA,0.486072,0.363011,NA
910688,0.947711,0.93081,0.418104,0.342695,0.322946,0.23834,0.560409,0.989869,0.988036,0.890297,0.626462,0.910438,0.974951,0.980858,0.855367,0.532987,0.96433,0.799268,0.600628,0.681426,0.267944,0.968683,0.61443,0.488553,0.338694,0.619376,0.728423,0.808062,0.719146,0.849307,0.689787,0.525827,0.50255,0.152581,0.828717,0.944939,0.952738,0.965379,0.990963,0.551362,0.463978,0.990943,0.983934,0.29786,0.581093,0.990117,0.887273,NA,0.974732,0.990151,0.862722,0.636429,0.875831,0.361817,0.914403,0.710224,0.354487,0.787009,0.419629,0.180489,0.858787,0.950642,0.972595,0.48676,0.781504,0.823337,0.96166,0.685361,0.919286,0.955044,0.966599,0.327613,0.335395,0.969385,0.852929,0.826715,0.852841,0.907244,0.810793,0.983246,0.060728,0.832814,0.97071,0.253927,0.314426,0.170554,0.380536,0.197978,0.990958,0.837266,0.98022,0.657344,0.326412,0.741494,0.389605,0.934962,0.874298,0.80375,0.681018,0.899173,0.861647,0.418002,0.813187,0.094837,0.219379,0.387932,0.104023,0.134302,0.949288,0.664008,0.525063,0.6039,0.802412,0.660278,0.989225,0.230996,0.160662,0.808837,0.695867,0.25421,0.920649,0.920297,0.990498,0.345935,0.987467,0.21355,0.90207,0.928332,0.948322,0.96039,0.97305,0.911472,0.988647,0.986358,0.935878,0.793888,0.990918,0.947721,0.907443,0.94589,0.943181,0.990939,0.990884,0.990434,0.976589,0.905227,0.985868,0.817598,0.935677,0.990933,0.990881,0.970518,0.987557,0.982015,0.988251,0.952525,0.99077,0.983909,0.990944,0.989376,0.990622,0.879154,0.98738,0.990949,0.990174,0.978055,0.981317,0.894002,0.714366,0.875773,0.986116,0.990536,0.973206,0.990931,0.986113,0.987867,0.978364,0.927953,0.561465,0.950851,0.989746,0.9772,0.987301,0.900861,0.989753,0.636115,0.693909,0.826538,0.044385,0.676185,0.988056,0.980499,0.98848,0.497019,0.976169,0.949432,0.950475,0.96309,0.43976,0.532522,0.983952
1290812,0.970203,0.693452,0.57148,0.79414,0.770025,0.694233,0.774991,0.979479,0.978131,0.984281,0.869701,0.848599,0.837226,0.977515,0.932358,0.676062,0.862349,0.883609,0.737878,0.924177,0.605092,0.944335,0.839168,0.583725,0.936036,0.778023,0.728306,0.938296,0.919892,0.922299,0.726371,0.97112,0.476687,0.462886,0.856372,0.96208,0.911364,0.950009,0.9829,0.60258,0.982866,0.974337,0.903522,0.574581,0.737778,0.966328,0.921013,0.709454,0.919312,0.975308,0.763153,0.984083,0.978749,0.95761,0.984373,0.803474,0.945469,0.926302,0.849825,0.949315,0.984373,0.89521,NA,0.818118,0.983138,0.78929,0.954827,0.799821,0.977148,0.984287,0.967081,0.819627,0.953073,0.982593,0.9311,0.909987,0.980451,0.983241,0.957744,0.979383,0.179072,0.968244,0.969793,0.604171,0.583874,0.462118,0.933571,0.563025,0.974074,0.939691,0.984373,0.96724,0.942123,0.972333,0.845691,0.950116,0.984076,0.861353,0.870384,0.976615,0.973398,0.95536,0.973959,0.795787,0.982854,0.976809,0.956955,0.898934,0.904805,0.888525,0.821823,0.701948,0.896436,0.966238,0.984373,0.984041,0.930143,0.969765,0.971344,0.868631,0.984373,0.984373,0.977672,0.81773,0.979691,0.5577,0.984373,0.79801,0.89826,0.684013,0.955441,0.984373,0.984373,0.984373,NA,0.917034,0.984373,0.868416,0.938544,0.853445,0.941109,0.984329,0.93461,0.983512,0.926491,0.774532,0.757244,0.872049,NA,0.984373,NA,NA,0.618857,0.922106,0.984373,0.91703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86105,NA,NA,NA,0.954519,0.974775,0.966234,0.954632,0.963599,0.90995,0.691642,0.924776,0.972932,0.938669,0.968072,0.883534,0.982348,0.80672,0.674564,0.789983,0.977443,0.924549,0.982348,0.982348,0.982348,0.918998,0.982133,0.701407,0.971147,0.980755,0.511384,0.874246,0.977265
907045,0.979696,0.967398,0.812836,0.97824,0.959702,0.704303,0.846494,0.982152,0.964918,0.956569,0.80697,0.980411,0.96211,0.981317,0.917279,0.653434,0.980211,0.941082,0.68465,0.618834,0.876547,0.979389,0.864478,0.580017,0.725374,0.794219,0.601922,0.873757,0.903957,0.982064,0.967216,0.967908,0.867598,0.663829,0.980434,0.978628,NA,0.946983,0.973912,0.685294,0.760895,0.974975,0.876287,0.42187,0.897402,0.981873,0.92847,0.716204,0.925164,0.977589,0.910834,0.971209,0.865843,0.791594,0.924755,0.980347,0.754332,0.882393,0.910487,0.974217,0.815524,0.966575,0.966098,0.843128,0.965644,0.822296,0.981677,0.7928,0.980361,0.917426,0.728562,0.847536,0.970629,0.948446,0.957537,0.965225,0.979336,0.964971,0.95159,0.979717,0.412689,0.976385,0.97737,0.617527,0.720341,0.637123,0.939549,0.746052,0.974078,0.964529,0.965742,0.661444,0.675658,0.948803,0.930109,0.957813,0.949371,0.977214,0.836898,0.847125,0.978726,0.946024,0.942194,0.594681,0.981188,0.940835,0.713726,0.875851,0.847612,0.950257,0.941177,0.978952,0.979443,0.901116,0.980405,0.883911,0.836992,0.963624,0.953519,0.654289,0.980373,0.981097,0.982152,0.896497,0.971076,0.70576,0.850913,0.719177,0.805057,0.830925,0.950498,0.980014,0.799093,0.959942,0.841109,0.632235,0.952652,0.964963,0.904044,0.56358,0.979696,0.960274,0.979233,0.953804,0.875569,0.975804,0.903932,0.96877,0.653131,0.982022,0.813715,0.978916,0.567133,0.728659,0.959215,0.961903,0.955866,0.981278,0.917827,0.910115,0.88969,0.969898,0.980906,0.949662,0.921421,0.608779,0.972749,0.640201,0.785665,0.765387,0.77379,0.934199,0.920569,0.963079,0.86027,0.966249,0.822649,0.867572,0.633125,0.969149,0.98188,0.979696,0.979696,0.918987,0.958602,0.937308,0.899772,0.952274,0.976685,0.970655,0.979696,0.979696,0.979696,0.935901,0.979659,0.958783,0.905996,0.979696,0.974293,0.978936,0.979696
906861,0.371732,0.860719,0.553352,0.663048,0.258327,0.217364,0.556049,0.983128,0.978362,0.847826,0.905203,0.84026,0.912667,0.896693,0.907969,0.576313,0.849773,0.785395,0.763669,0.662192,0.614984,0.952031,0.594308,0.568422,0.892367,0.734417,0.652177,0.871069,0.872877,0.734965,0.82261,0.650782,0.191271,0.16621,0.79038,0.899941,0.937777,0.974214,0.983193,0.599881,0.818252,0.97951,0.963458,0.313049,0.422342,0.97702,0.852556,0.241578,0.970222,0.979309,0.833103,0.796246,0.938602,0.569466,0.93315,0.953385,0.809695,0.869489,0.863062,0.897414,0.736382,0.983359,0.966474,0.572831,0.954708,0.517063,0.913774,0.865744,0.973158,0.982194,0.941612,0.806633,0.787697,0.885711,0.710299,0.754282,0.934512,0.965721,0.912517,0.982888,0.032447,0.838015,0.978164,0.59977,0.553597,0.406235,0.929956,0.543058,0.947508,0.9407,0.973218,0.837542,0.698367,0.875574,0.862808,0.952583,0.867564,0.767285,0.874557,0.5875,0.858003,0.832899,0.981481,0.720874,0.542647,0.74528,0.956689,0.857578,0.840303,0.902287,0.902084,0.616754,0.929827,0.809591,0.979774,0.953875,0.364433,0.937787,0.883158,0.802547,0.973265,0.979881,0.982795,0.955083,0.96347,0.370524,0.731395,0.503269,0.938419,0.819335,0.541296,0.916257,0.961943,0.852234,0.971648,0.760291,0.977276,0.809179,0.873198,0.554256,0.88976,0.961081,0.917131,0.972139,0.936674,0.743523,0.915704,0.75293,0.583191,0.957107,0.98314,0.976639,0.649039,0.790674,0.968581,0.940108,0.839181,0.957529,0.98339,0.982584,0.983269,0.978798,0.980543,0.969567,0.97142,0.851498,0.763614,0.460125,0.563143,0.791014,0.954687,0.975136,0.903166,0.948906,0.972697,0.941562,0.959102,0.867748,0.648907,0.910323,0.918203,0.960298,0.954901,0.808292,0.967206,0.639417,0.800155,0.756121,0.336567,0.511849,0.966918,0.980911,0.978835,0.344799,0.793639,0.821649,0.949978,0.97128,0.520051,0.753271,0.962215
906830,0.877288,0.862674,0.970464,0.981591,0.911206,0.53073,0.961832,0.975866,0.983534,0.986475,0.98696,0.972525,0.954381,0.982817,0.903426,0.79296,0.986003,0.977511,0.985444,0.914458,0.944039,0.984984,0.986519,0.651677,0.985404,0.512541,0.146222,0.985652,0.945241,0.986707,0.984569,0.969558,0.728483,0.42071,0.960192,0.981841,0.967871,0.973976,0.985383,0.669829,0.848732,0.978286,0.983692,0.868229,0.979511,0.986142,0.888355,0.973864,0.974408,0.986921,0.876328,0.950706,0.986964,0.948391,0.966872,0.978395,0.985155,0.457108,0.986964,0.990503,0.970698,0.986958,0.986964,0.928113,0.986944,0.974899,0.986942,0.766627,0.985571,0.986964,0.98663,0.986964,0.986744,0.982178,0.916018,0.971398,0.92882,0.986956,0.985364,0.983314,0.653744,0.984425,0.985028,0.965373,0.948871,0.849099,0.969845,0.879719,0.763813,0.986845,0.986289,0.992376,0.937697,0.986964,0.986648,0.986938,0.98673,0.977613,0.984553,0.900963,0.986948,0.909544,0.972019,0.982009,0.986659,0.986964,0.980442,0.986138,0.959219,0.986732,0.961825,0.771947,0.98695,0.986964,0.986964,0.986964,0.410672,0.986881,0.985583,0.898168,0.986964,0.981588,0.978007,0.957146,0.982202,0.665005,0.92445,0.733731,0.815626,0.428198,0.793608,0.964508,0.957009,0.970019,0.879911,0.90428,0.9256,0.329098,0.373482,0.815552,0.963265,0.96068,0.952184,0.961054,0.876615,0.506592,0.822907,0.685666,0.176528,0.986862,0.898972,0.982223,0.645731,0.978642,0.985965,0.398379,0.927106,0.979557,0.975275,0.959988,0.938845,0.818476,0.986964,0.951637,0.979615,0.833451,0.812757,0.862641,0.85807,0.804759,0.376941,0.401281,0.307368,0.986638,0.976753,0.976203,0.967751,0.849921,0.779002,0.882371,0.980667,0.983658,0.984495,0.916813,0.985329,0.849953,0.16167,0.753061,0.941787,0.87147,0.972572,0.985461,0.978899,0.913401,0.975474,0.076401,0.079505,0.965863,0.742233,0.594757,0.985457
